DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,CONF_STATUS,BASE_PER
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),KR07,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NZ15,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NZ22,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NZ25,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NO06,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NO07,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PT20,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SE32,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SE33,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),US02,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),US15,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),AR20,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IN06,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ID23,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ID31,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE02,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
