FREQ,REF_AREA,VALUE,UNIT_MEASURE,UNIT_MULT,BREAKS,COVERAGE,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,XM,R,628,0,,,,2021-Q2,114.7652,A,F,
Q,XM,R,628,0,,,,2021-Q3,117.7761,A,F,
Q,XM,R,628,0,,,,2021-Q4,117.9402,A,F,
Q,XM,R,628,0,,,,2022-Q1,117.5329,A,F,
Q,XM,R,628,0,,,,2022-Q2,116.2427,A,F,
Q,XM,R,628,0,,,,2022-Q3,115.3011,A,F,
Q,XM,R,628,0,,,,2022-Q4,110.7419,A,F,
Q,XM,R,628,0,,,,2023-Q1,109.3445,A,F,
Q,XM,R,628,0,,,,2023-Q2,107.8117,A,F,
Q,XM,R,628,0,,,,2023-Q3,107.426,A,F,
Q,XM,R,628,0,,,,2023-Q4,106.4285,A,F,
Q,XM,R,628,0,,,,2024-Q1,106.3597,A,F,
Q,XM,R,628,0,,,,2024-Q2,106.6532,A,F,
Q,XM,R,628,0,,,,2024-Q3,108.0641,A,F,
Q,XM,R,628,0,,,,2024-Q4,108.4455,A,F,
Q,XM,R,628,0,,,,2025-Q1,109.4052,A,F,
Q,XM,R,628,0,,,,2025-Q2,109.9423,A,F,
Q,XM,R,628,0,,,,2025-Q3,111.1921,A,F,
Q,XM,R,628,0,,,,2025-Q4,111.6631,A,F,
Q,NL,R,628,0,,,,1970-Q1,31.3897,A,F,
Q,NL,R,628,0,,,,1970-Q2,32.4361,A,F,
Q,NL,R,628,0,,,,1970-Q3,32.9525,A,F,
Q,NL,R,628,0,,,,1970-Q4,33.0844,A,F,
Q,NL,R,628,0,,,,1971-Q1,33.2671,A,F,
Q,NL,R,628,0,,,,1971-Q2,33.626,A,F,
Q,NL,R,628,0,,,,1971-Q3,33.5211,A,F,
Q,NL,R,628,0,,,,1971-Q4,33.7705,A,F,
Q,NL,R,628,0,,,,1972-Q1,34.2949,A,F,
Q,NL,R,628,0,,,,1972-Q2,34.9183,A,F,
Q,NL,R,628,0,,,,1972-Q3,34.9639,A,F,
Q,NL,R,628,0,,,,1972-Q4,35.8458,A,F,
Q,NL,R,628,0,,,,1973-Q1,36.4746,A,F,
Q,NL,R,628,0,,,,1973-Q2,37.6349,A,F,
Q,NL,R,628,0,,,,1973-Q3,38.056,A,F,
Q,NL,R,628,0,,,,1973-Q4,39.2056,A,F,
Q,NL,R,628,0,,,,1974-Q1,40.4109,A,F,
Q,NL,R,628,0,,,,1974-Q2,41.5468,A,F,
Q,NL,R,628,0,,,,1974-Q3,41.918,A,F,
Q,NL,R,628,0,,,,1974-Q4,42.5834,A,F,
Q,NL,R,628,0,,,,1975-Q1,42.5981,A,F,
Q,NL,R,628,0,,,,1975-Q2,43.2334,A,F,
Q,NL,R,628,0,,,,1975-Q3,43.9607,A,F,
Q,NL,R,628,0,,,,1975-Q4,45.1529,A,F,
Q,NL,R,628,0,,,,1976-Q1,46.5362,A,F,
Q,NL,R,628,0,,,,1976-Q2,50.0399,A,F,
Q,NL,R,628,0,,,,1976-Q3,52.9049,A,F,
Q,NL,R,628,0,,,,1976-Q4,55.5065,A,F,
Q,NL,R,628,0,,,,1977-Q1,61.2825,A,F,
Q,NL,R,628,0,,,,1977-Q2,68.2979,A,F,
Q,NL,R,628,0,,,,1977-Q3,68.4368,A,F,
Q,NL,R,628,0,,,,1977-Q4,68.9423,A,F,
Q,NL,R,628,0,,,,1978-Q1,70.4504,A,F,
Q,NL,R,628,0,,,,1978-Q2,73.5088,A,F,
Q,NL,R,628,0,,,,1978-Q3,67.3564,A,F,
Q,NL,R,628,0,,,,1978-Q4,66.8118,A,F,
Q,NL,R,628,0,,,,1979-Q1,65.4615,A,F,
Q,NL,R,628,0,,,,1979-Q2,64.9775,A,F,
Q,NL,R,628,0,,,,1979-Q3,62.6737,A,F,
Q,NL,R,628,0,,,,1979-Q4,60.0249,A,F,
Q,NL,R,628,0,,,,1980-Q1,58.303,A,F,
Q,NL,R,628,0,,,,1980-Q2,56.6135,A,F,
Q,NL,R,628,0,,,,1980-Q3,51.973,A,F,
Q,NL,R,628,0,,,,1980-Q4,51.1352,A,F,
Q,NL,R,628,0,,,,1981-Q1,50.4905,A,F,
Q,NL,R,628,0,,,,1981-Q2,47.5681,A,F,
Q,NL,R,628,0,,,,1981-Q3,44.5644,A,F,
Q,NL,R,628,0,,,,1981-Q4,41.1546,A,F,
Q,NL,R,628,0,,,,1982-Q1,39.4526,A,F,
Q,NL,R,628,0,,,,1982-Q2,38.7071,A,F,
Q,NL,R,628,0,,,,1982-Q3,38.6752,A,F,
