geo,variant,year,population,net_migration,olddep,PC_Y0_14,PC_Y15_64,share65
IE,HMIGR,2039,5942094.0,27657.0,31.5,15.4,64.3,20.299999999999997
IE,HMIGR,2040,5987950.0,27021.0,32.3,15.5,63.9,20.6
IE,HMIGR,2041,6032893.0,26418.0,33.1,15.6,63.5,20.900000000000006
IE,HMIGR,2042,6076744.0,25883.0,33.8,15.7,63.0,21.299999999999997
IE,HMIGR,2043,6119449.0,25472.0,34.7,15.7,62.6,21.699999999999996
IE,HMIGR,2044,6160935.0,25382.0,35.5,15.8,62.1,22.1
IE,HMIGR,2045,6201339.0,24884.0,36.6,15.9,61.6,22.499999999999993
IE,HMIGR,2046,6240094.0,24071.0,37.6,15.9,61.1,22.999999999999993
IE,HMIGR,2047,6276704.0,23337.0,38.6,15.9,60.7,23.39999999999999
IE,HMIGR,2048,6311126.0,22711.0,39.4,15.9,60.3,23.799999999999997
IE,HMIGR,2049,6343392.0,22052.0,40.2,15.9,60.0,24.099999999999994
IE,HMIGR,2050,6373386.0,21578.0,40.8,15.9,59.7,24.39999999999999
IE,HMIGR,2051,6401279.0,21144.0,41.4,15.8,59.5,24.700000000000003
IE,HMIGR,2052,6427088.0,20730.0,41.9,15.7,59.4,24.9
IE,HMIGR,2053,6450858.0,20346.0,42.3,15.6,59.3,25.10000000000001
IE,HMIGR,2054,6472686.0,19965.0,42.7,15.5,59.2,25.299999999999997
IE,HMIGR,2055,6492651.0,19631.0,43.0,15.3,59.2,25.5
IE,HMIGR,2056,6510847.0,19291.0,43.2,15.2,59.2,25.599999999999994
IE,HMIGR,2057,6527407.0,18984.0,43.5,15.0,59.2,25.799999999999997
IE,HMIGR,2058,6542456.0,18681.0,43.7,14.8,59.3,25.900000000000006
IE,HMIGR,2059,6556130.0,18394.0,43.9,14.7,59.3,26.0
IE,HMIGR,2060,6568584.0,18136.0,44.1,14.5,59.3,26.200000000000003
IE,HMIGR,2061,6579940.0,17873.0,44.3,14.4,59.3,26.299999999999997
IE,HMIGR,2062,6590351.0,17673.0,44.6,14.2,59.3,26.5
IE,HMIGR,2063,6599971.0,17563.0,45.0,14.1,59.2,26.700000000000003
IE,HMIGR,2064,6609009.0,17548.0,45.5,14.0,59.1,26.9
IE,HMIGR,2065,6617629.0,17441.0,45.9,13.9,59.0,27.099999999999994
IE,HMIGR,2066,6625841.0,17441.0,46.4,13.8,58.9,27.300000000000004
IE,HMIGR,2067,6633822.0,17414.0,46.9,13.8,58.7,27.5
IE,HMIGR,2068,6641580.0,17363.0,47.5,13.7,58.5,27.799999999999997
IE,HMIGR,2069,6649136.0,17283.0,48.0,13.7,58.3,28.0
IE,HMIGR,2070,6656459.0,17285.0,48.6,13.7,58.1,28.199999999999996
IE,LFRT,2023,5174288.0,33324.0,23.2,19.4,65.4,15.199999999999989
IE,LFRT,2024,5214965.0,14314.0,23.6,18.7,65.7,15.599999999999994
IE,LFRT,2025,5235607.0,15187.0,24.1,18.1,66.0,15.900000000000006
IE,LFRT,2026,5256414.0,15976.0,24.6,17.4,66.3,16.299999999999997
