ccaa,anyo,ipv_general,salario_medio_anual,salario_idx,ratio_asequibilidad
Extremadura,2008,137.785,18264.9,93.35740415415889,1.4758872233902183
Extremadura,2009,137.26,19099.56,97.62360276194269,1.4060124408101546
Extremadura,2010,139.248,19480.55,99.57095738248223,1.3984800755214817
Extremadura,2011,130.763,19879.46,101.60990651941349,1.2869119210833695
Extremadura,2012,120.066,19721.35,100.80175869649553,1.1911101706221938
Extremadura,2013,102.356,19129.72,97.77775960426261,1.0468229218409888
Extremadura,2014,98.126,19180.57,98.0376692671263,1.0009009876870187
Extremadura,2015,100.0,19564.49,100.0,1.0
Extremadura,2016,101.43,19475.2,99.54361192139432,1.0189503680064904
Extremadura,2017,101.85,19672.4,100.55156050579393,1.0129131709908297
Extremadura,2018,103.737,19947.8,101.95921283917954,1.0174362581988992
Extremadura,2019,105.765,19940.68,101.92282037507749,1.0376969515833965
Extremadura,2020,106.309,20479.3,104.67586939398879,1.0156017868823641
Extremadura,2021,108.771,21393.01,109.34611635672586,0.9947404043610509
Extremadura,2022,114.612,21922.73,112.05367479550961,1.0228312476958847
Extremadura,2023,116.364,23684.22,121.05718063696011,0.961231703792652
Extremadura,2024,124.857,24979.44,127.67744009682846,0.9779096440632778
Galicia,2008,140.439,19156.41,92.88159014378495,1.5120219171807243
Galicia,2009,138.72,19806.66,96.03438620478993,1.444482601306833
Galicia,2010,136.011,20241.99,98.14512316632364,1.3858151644428238
Galicia,2011,129.103,19970.29,96.82776109054501,1.3333262955370202
Galicia,2012,112.385,19389.2,94.01029355792005,1.1954541970529986
Galicia,2013,99.834,19824.66,96.12166083623643,1.038621254891635
Galicia,2014,98.655,20195.89,97.92160313800787,1.00748963291541
Galicia,2015,100.0,20624.55,100.0,1.0
Galicia,2016,101.957,21082.12,102.21856961727649,0.9974410753520045
Galicia,2017,103.717,21605.88,104.75806744874434,0.9900621739776394
Galicia,2018,107.673,22244.59,107.85491077381081,0.9983133751397532
Galicia,2019,111.998,22177.4,107.52913396898359,1.041559583585091
Galicia,2020,114.516,22834.66,110.71591865034631,1.0343228091856853
Galicia,2021,119.78,23305.86,113.00057455799035,1.0599946103683795
Galicia,2022,127.685,24169.68,117.1888841211081,1.0895657976233033
Galicia,2023,132.306,25279.15,122.56824997393885,1.0794475733163496
Galicia,2024,142.155,26547.27,128.71684473115778,1.1044009064773892
"Madrid, Comunidad de",2008,149.458,25269.61,95.54435791839396,1.5642786581668653
"Madrid, Comunidad de",2009,133.981,25860.65,97.77907928148929,1.3702419882098864
"Madrid, Comunidad de",2010,134.509,25988.95,98.26418139113522,1.368850766329536
"Madrid, Comunidad de",2011,122.826,25845.2,97.7206628544119,1.2569091982418399
"Madrid, Comunidad de",2012,103.984,26044.39,98.4737999488809,1.0559560010274764
"Madrid, Comunidad de",2013,92.203,26215.36,99.12023726521889,0.9302136732511017
"Madrid, Comunidad de",2014,94.572,26570.35,100.46245392853308,0.9413666131157474
"Madrid, Comunidad de",2015,100.0,26448.04,100.0,1.0
"Madrid, Comunidad de",2016,108.566,26330.14,99.55422027492395,1.090521322955366
"Madrid, Comunidad de",2017,121.003,27089.12,102.4239225288528,1.1813939264619893
"Madrid, Comunidad de",2018,133.325,27010.93,102.12828625486048,1.3054659476737749
"Madrid, Comunidad de",2019,141.142,27817.76,105.17890928779599,1.3419230238811464
"Madrid, Comunidad de",2020,143.56,28829.06,109.00263308736677,1.3170324049414028
