ccaa,anyo,ipc_media_anual
"Madrid, Comunidad de",2019,21.142729166666665
"Madrid, Comunidad de",2020,20.426020833333332
"Madrid, Comunidad de",2021,22.925291666666666
"Madrid, Comunidad de",2022,25.96175
"Madrid, Comunidad de",2023,24.914729166666664
"Madrid, Comunidad de",2024,25.537479166666667
"Madrid, Comunidad de",2025,26.29760416666667
"Madrid, Comunidad de",2026,26.8515
Melilla,2001,15.06575
Melilla,2002,16.636479166666668
Melilla,2003,16.919333333333334
Melilla,2004,17.919833333333333
Melilla,2005,17.925708333333333
Melilla,2006,18.931458333333335
Melilla,2007,18.95525
Melilla,2008,19.828500000000002
Melilla,2009,18.6248125
Melilla,2010,19.754770833333335
Melilla,2011,20.080229166666665
Melilla,2012,20.301291666666668
Melilla,2013,19.510583333333333
Melilla,2014,19.271708333333333
Melilla,2015,19.1568125
Melilla,2016,19.554270833333334
Melilla,2017,20.451875
Melilla,2018,20.240645833333332
Melilla,2019,19.9598125
Melilla,2020,20.016916666666667
Melilla,2021,22.923979166666665
Melilla,2022,26.215958333333333
Melilla,2023,25.78108333333333
Melilla,2024,25.391562500000003
Melilla,2025,26.105687500000002
Melilla,2026,26.241249999999997
"Murcia, Región de",2001,15.04725
"Murcia, Región de",2002,16.703916666666668
"Murcia, Región de",2003,17.00014583333333
"Murcia, Región de",2004,17.51066666666667
"Murcia, Región de",2005,18.224791666666665
"Murcia, Región de",2006,18.652208333333334
"Murcia, Región de",2007,19.303791666666665
"Murcia, Región de",2008,19.786270833333333
"Murcia, Región de",2009,18.228729166666668
"Murcia, Región de",2010,19.535395833333332
"Murcia, Región de",2011,20.353
"Murcia, Región de",2012,20.713354166666665
"Murcia, Región de",2013,20.423333333333336
"Murcia, Región de",2014,19.613895833333334
"Murcia, Región de",2015,19.7266875
"Murcia, Región de",2016,19.936458333333334
"Murcia, Región de",2017,20.399729166666667
"Murcia, Región de",2018,20.949395833333334
"Murcia, Región de",2019,20.70660416666667
"Murcia, Región de",2020,20.212041666666668
"Murcia, Región de",2021,22.819354166666667
"Murcia, Región de",2022,26.628395833333332
"Murcia, Región de",2023,25.44004166666667
"Murcia, Región de",2024,25.686541666666667
"Murcia, Región de",2025,25.872479166666665
"Murcia, Región de",2026,26.770750000000003
Nacional,2001,15.40425
Nacional,2002,16.550291666666666
Nacional,2003,16.556958333333334
Nacional,2004,17.204416666666667
Nacional,2005,17.919791666666665
Nacional,2006,18.3490625
Nacional,2007,18.820666666666664
Nacional,2008,19.5859375
Nacional,2009,18.105604166666666
Nacional,2010,19.325416666666666
Nacional,2011,20.186395833333332
Nacional,2012,20.56114583333333
Nacional,2013,20.066083333333335
Nacional,2014,19.4986875
Nacional,2015,19.535270833333332
Nacional,2016,19.725125000000002
Nacional,2017,20.4944375
Nacional,2018,20.983291666666666
Nacional,2019,20.763520833333335
Nacional,2020,20.149020833333335
Nacional,2021,22.84239583333333
Nacional,2022,26.274208333333334
Nacional,2023,25.199270833333333
Nacional,2024,25.601416666666665
Nacional,2025,26.144958333333335
Nacional,2026,23.105999999999998
"Navarra, Comunidad Foral de",2001,15.514999999999999
"Navarra, Comunidad Foral de",2002,16.7588125
"Navarra, Comunidad Foral de",2003,16.753249999999998
"Navarra, Comunidad Foral de",2004,17.332104166666667
"Navarra, Comunidad Foral de",2005,18.0598125
"Navarra, Comunidad Foral de",2006,18.314520833333333
"Navarra, Comunidad Foral de",2007,18.8003125
"Navarra, Comunidad Foral de",2008,19.5434375
"Navarra, Comunidad Foral de",2009,17.921
"Navarra, Comunidad Foral de",2010,19.188270833333334
"Navarra, Comunidad Foral de",2011,20.174937500000002
"Navarra, Comunidad Foral de",2012,20.549666666666667
"Navarra, Comunidad Foral de",2013,19.897854166666665
"Navarra, Comunidad Foral de",2014,19.273395833333336
"Navarra, Comunidad Foral de",2015,19.331187500000002
"Navarra, Comunidad Foral de",2016,19.694604166666668
"Navarra, Comunidad Foral de",2017,20.108208333333334
"Navarra, Comunidad Foral de",2018,20.878625
"Navarra, Comunidad Foral de",2019,20.911291666666667
"Navarra, Comunidad Foral de",2020,19.874104166666665
"Navarra, Comunidad Foral de",2021,22.87410416666667
"Navarra, Comunidad Foral de",2022,26.520833333333332
"Navarra, Comunidad Foral de",2023,25.17477083333333
"Navarra, Comunidad Foral de",2024,25.537270833333334
"Navarra, Comunidad Foral de",2025,26.066375000000004
"Navarra, Comunidad Foral de",2026,26.597416666666664
País Vasco,2001,15.34825
País Vasco,2002,16.3571875
País Vasco,2003,16.245104166666668
País Vasco,2004,16.908312499999997
País Vasco,2005,17.5918125
País Vasco,2006,17.968458333333334
País Vasco,2007,18.494791666666668
País Vasco,2008,19.288520833333333
País Vasco,2009,18.0146875
País Vasco,2010,18.988895833333334
País Vasco,2011,19.86070833333333
País Vasco,2012,20.1351875
