geo,year,variable,value,flag
HR,2002,te_gf0601,0.2,
HR,2003,te_gf0601,0.4,
HR,2004,te_gf0601,0.5,
HR,2005,te_gf0601,0.3,
HR,2006,te_gf0601,0.4,
HR,2007,te_gf0601,0.3,
HR,2008,te_gf0601,0.3,
HR,2009,te_gf0601,0.2,
HR,2010,te_gf0601,0.2,
HR,2011,te_gf0601,0.2,
HR,2012,te_gf0601,0.2,
HR,2013,te_gf0601,0.2,
HR,2014,te_gf0601,0.2,
HR,2015,te_gf0601,0.1,
HR,2016,te_gf0601,0.2,
HR,2017,te_gf0601,0.1,
HR,2018,te_gf0601,0.1,
HR,2019,te_gf0601,0.2,
HR,2020,te_gf0601,0.2,covid
HR,2021,te_gf0601,0.2,covid
HR,2022,te_gf0601,0.3,covid
HR,2023,te_gf0601,0.2,
HU,1995,te_gf0601,-0.4,neg_asset_sale
HU,1996,te_gf0601,0.0,
HU,1997,te_gf0601,0.1,
HU,1998,te_gf0601,0.2,
HU,1999,te_gf0601,0.1,
HU,2000,te_gf0601,0.1,
HU,2001,te_gf0601,0.2,
HU,2002,te_gf0601,0.0,
HU,2003,te_gf0601,0.1,
HU,2004,te_gf0601,0.2,
HU,2005,te_gf0601,0.2,
HU,2006,te_gf0601,0.2,
HU,2007,te_gf0601,0.2,
HU,2008,te_gf0601,0.1,
HU,2009,te_gf0601,0.2,
HU,2010,te_gf0601,0.1,
HU,2011,te_gf0601,0.3,
HU,2012,te_gf0601,0.3,
HU,2013,te_gf0601,0.2,
HU,2014,te_gf0601,0.2,
HU,2015,te_gf0601,0.2,
HU,2016,te_gf0601,0.2,
HU,2017,te_gf0601,0.2,
HU,2018,te_gf0601,0.2,
HU,2019,te_gf0601,0.2,
HU,2020,te_gf0601,0.2,covid
HU,2021,te_gf0601,0.2,covid
HU,2022,te_gf0601,0.1,covid
HU,2023,te_gf0601,0.5,
IE,1995,te_gf0601,0.5,
IE,1996,te_gf0601,0.5,
IE,1997,te_gf0601,0.5,
IE,1998,te_gf0601,0.5,
IE,1999,te_gf0601,0.4,
IE,2000,te_gf0601,0.5,
IE,2001,te_gf0601,0.8,
IE,2002,te_gf0601,0.8,
IE,2003,te_gf0601,0.6,
IE,2004,te_gf0601,0.6,
IE,2005,te_gf0601,0.7,
IE,2006,te_gf0601,0.8,
IE,2007,te_gf0601,1.2,
IE,2008,te_gf0601,1.0,
IE,2009,te_gf0601,0.7,
IE,2010,te_gf0601,0.7,
IE,2011,te_gf0601,0.2,
IE,2012,te_gf0601,0.3,
IE,2013,te_gf0601,0.2,
IE,2014,te_gf0601,0.1,
IE,2015,te_gf0601,0.1,
IE,2016,te_gf0601,0.1,
IE,2017,te_gf0601,0.1,
IE,2018,te_gf0601,0.1,
IE,2019,te_gf0601,0.1,
IE,2020,te_gf0601,0.2,covid
IE,2021,te_gf0601,0.2,covid
IE,2022,te_gf0601,0.2,covid
IE,2023,te_gf0601,0.2,
IS,1998,te_gf0601,0.1,
IS,1999,te_gf0601,0.1,
IS,2000,te_gf0601,0.2,
IS,2001,te_gf0601,0.2,
IS,2002,te_gf0601,0.2,
IS,2003,te_gf0601,0.2,
IS,2004,te_gf0601,0.2,
IS,2005,te_gf0601,0.2,
IS,2006,te_gf0601,0.1,
IS,2007,te_gf0601,0.1,
IS,2008,te_gf0601,0.1,
IS,2009,te_gf0601,0.1,
IS,2010,te_gf0601,0.1,
IS,2011,te_gf0601,0.4,
IS,2012,te_gf0601,0.5,
IS,2013,te_gf0601,0.2,
IS,2014,te_gf0601,0.2,
IS,2015,te_gf0601,0.2,
IS,2016,te_gf0601,0.3,
IS,2017,te_gf0601,0.3,
IS,2018,te_gf0601,0.2,
IS,2019,te_gf0601,0.2,
IS,2020,te_gf0601,0.2,covid
IS,2021,te_gf0601,0.2,covid
IS,2022,te_gf0601,0.1,covid
IS,2023,te_gf0601,0.2,
IT,2001,te_gf0601,0.1,
IT,2002,te_gf0601,0.1,
IT,2003,te_gf0601,0.1,
IT,2004,te_gf0601,0.1,
IT,2005,te_gf0601,0.1,
IT,2006,te_gf0601,0.1,
IT,2007,te_gf0601,0.1,
IT,2008,te_gf0601,0.1,
IT,2009,te_gf0601,0.1,
IT,2010,te_gf0601,0.1,
IT,2011,te_gf0601,0.1,
IT,2012,te_gf0601,0.1,
IT,2013,te_gf0601,0.1,
IT,2014,te_gf0601,0.1,
IT,2015,te_gf0601,0.1,
IT,2016,te_gf0601,0.1,
IT,2017,te_gf0601,0.1,
IT,2018,te_gf0601,0.1,
IT,2019,te_gf0601,0.1,
IT,2020,te_gf0601,0.2,covid
IT,2021,te_gf0601,2.1,superbonus
IT,2022,te_gf0601,2.9,superbonus
IT,2023,te_gf0601,4.1,superbonus
LT,2000,te_gf0601,0.1,
LT,2001,te_gf0601,0.1,
LT,2002,te_gf0601,0.1,
LT,2003,te_gf0601,0.0,
LT,2004,te_gf0601,0.0,
LT,2005,te_gf0601,0.0,
LT,2006,te_gf0601,0.0,
LT,2007,te_gf0601,0.0,
LT,2008,te_gf0601,0.1,
LT,2009,te_gf0601,0.0,
LT,2010,te_gf0601,0.0,
LT,2011,te_gf0601,0.0,
LT,2012,te_gf0601,0.0,
LT,2013,te_gf0601,0.0,
LT,2014,te_gf0601,0.0,
LT,2015,te_gf0601,0.0,
LT,2016,te_gf0601,0.0,
LT,2017,te_gf0601,0.1,
LT,2018,te_gf0601,0.0,
LT,2019,te_gf0601,0.0,
LT,2020,te_gf0601,0.1,covid
LT,2021,te_gf0601,0.2,covid
LT,2022,te_gf0601,0.2,covid
LT,2023,te_gf0601,0.2,
LU,1995,te_gf0601,0.5,
LU,1996,te_gf0601,0.4,
LU,1997,te_gf0601,0.4,
LU,1998,te_gf0601,0.4,
LU,1999,te_gf0601,0.3,
LU,2000,te_gf0601,0.4,
LU,2001,te_gf0601,0.3,
LU,2002,te_gf0601,0.3,
LU,2003,te_gf0601,0.3,
LU,2004,te_gf0601,0.3,
LU,2005,te_gf0601,0.3,
LU,2006,te_gf0601,0.3,
LU,2007,te_gf0601,0.3,
LU,2008,te_gf0601,0.3,
LU,2009,te_gf0601,0.3,
LU,2010,te_gf0601,0.3,
