ccaa,anyo,quarter,variable,valor
Canarias,2015,3,transacciones_n,120.0
Canarias,2015,4,transacciones_n,100.0
Canarias,2016,1,transacciones_n,94.0
Canarias,2016,2,transacciones_n,121.0
Canarias,2016,3,transacciones_n,200.0
Canarias,2016,4,transacciones_n,140.0
Canarias,2017,1,transacciones_n,141.0
Canarias,2017,2,transacciones_n,158.0
Canarias,2017,3,transacciones_n,127.0
Canarias,2017,4,transacciones_n,165.0
Canarias,2018,1,transacciones_n,182.0
Canarias,2018,2,transacciones_n,186.0
Canarias,2018,3,transacciones_n,170.0
Canarias,2018,4,transacciones_n,202.0
Canarias,2019,1,transacciones_n,156.0
Canarias,2019,2,transacciones_n,132.0
Canarias,2019,3,transacciones_n,142.0
Canarias,2019,4,transacciones_n,203.0
Canarias,2020,1,transacciones_n,104.0
Canarias,2020,2,transacciones_n,93.0
Canarias,2020,3,transacciones_n,105.0
Canarias,2020,4,transacciones_n,149.0
Canarias,2021,1,transacciones_n,107.0
Canarias,2021,2,transacciones_n,220.0
Canarias,2021,3,transacciones_n,149.0
Canarias,2021,4,transacciones_n,173.0
Canarias,2022,1,transacciones_n,210.0
Canarias,2022,2,transacciones_n,191.0
Canarias,2022,3,transacciones_n,118.0
Canarias,2022,4,transacciones_n,205.0
Canarias,2023,1,transacciones_n,211.0
Canarias,2023,2,transacciones_n,241.0
Canarias,2023,3,transacciones_n,125.0
Canarias,2023,4,transacciones_n,187.0
Canarias,2024,1,transacciones_n,177.0
Canarias,2024,2,transacciones_n,198.0
Canarias,2024,3,transacciones_n,230.0
Canarias,2024,4,transacciones_n,241.0
Canarias,2025,1,transacciones_n,150.0
Canarias,2025,2,transacciones_n,197.0
Canarias,2025,3,transacciones_n,222.0
Canarias,2025,4,transacciones_n,231.0
Canarias,2026,1,transacciones_n,218.0
Canarias,2026,2,transacciones_n,-5.6
Canarias,2026,3,transacciones_n,45.3
Cantabria,2004,1,transacciones_n,284.0
Cantabria,2004,2,transacciones_n,376.0
Cantabria,2004,3,transacciones_n,255.0
Cantabria,2004,4,transacciones_n,313.0
Cantabria,2005,1,transacciones_n,317.0
Cantabria,2005,2,transacciones_n,379.0
Cantabria,2005,3,transacciones_n,278.0
Cantabria,2005,4,transacciones_n,227.0
Cantabria,2006,1,transacciones_n,245.0
Cantabria,2006,2,transacciones_n,334.0
Cantabria,2006,3,transacciones_n,127.0
Cantabria,2006,4,transacciones_n,230.0
Cantabria,2007,1,transacciones_n,172.0
Cantabria,2007,2,transacciones_n,176.0
Cantabria,2007,3,transacciones_n,171.0
Cantabria,2007,4,transacciones_n,165.0
Cantabria,2008,1,transacciones_n,136.0
Cantabria,2008,2,transacciones_n,93.0
Cantabria,2008,3,transacciones_n,50.0
Cantabria,2008,4,transacciones_n,85.0
Cantabria,2009,1,transacciones_n,55.0
Cantabria,2009,2,transacciones_n,43.0
Cantabria,2009,3,transacciones_n,42.0
Cantabria,2009,4,transacciones_n,47.0
Cantabria,2010,1,transacciones_n,64.0
Cantabria,2010,2,transacciones_n,40.0
Cantabria,2010,3,transacciones_n,36.0
Cantabria,2010,4,transacciones_n,42.0
Cantabria,2011,1,transacciones_n,44.0
Cantabria,2011,2,transacciones_n,51.0
Cantabria,2011,3,transacciones_n,36.0
Cantabria,2011,4,transacciones_n,40.0
Cantabria,2012,1,transacciones_n,31.0
Cantabria,2012,2,transacciones_n,32.0
Cantabria,2012,3,transacciones_n,30.0
Cantabria,2012,4,transacciones_n,35.0
Cantabria,2013,1,transacciones_n,16.0
Cantabria,2013,2,transacciones_n,25.0
Cantabria,2013,3,transacciones_n,46.0
Cantabria,2013,4,transacciones_n,52.0
Cantabria,2014,1,transacciones_n,20.0
Cantabria,2014,2,transacciones_n,38.0
Cantabria,2014,3,transacciones_n,31.0
Cantabria,2014,4,transacciones_n,44.0
Cantabria,2015,1,transacciones_n,24.0
Cantabria,2015,2,transacciones_n,38.0
Cantabria,2015,3,transacciones_n,21.0
Cantabria,2015,4,transacciones_n,38.0
Cantabria,2016,1,transacciones_n,42.0
Cantabria,2016,2,transacciones_n,22.0
Cantabria,2016,3,transacciones_n,28.0
Cantabria,2016,4,transacciones_n,26.0
Cantabria,2017,1,transacciones_n,30.0
Cantabria,2017,2,transacciones_n,31.0
Cantabria,2017,3,transacciones_n,27.0
Cantabria,2017,4,transacciones_n,48.0
Cantabria,2018,1,transacciones_n,20.0
Cantabria,2018,2,transacciones_n,46.0
