iso3,medida,anyo,quarter,valor
SWE,RHP,2005,2,57.582108452446
SWE,RHP,2005,3,59.400526645516
SWE,RHP,2005,4,62.0399331604444
SWE,RHP,2006,1,64.0852614070472
SWE,RHP,2006,2,64.952243826748
SWE,RHP,2006,3,65.9780771042619
SWE,RHP,2006,4,67.7857588044848
SWE,RHP,2007,1,69.9905809963162
SWE,RHP,2007,2,72.763442241175
SWE,RHP,2007,3,75.0402652104444
SWE,RHP,2007,4,74.0430447562604
SWE,RHP,2008,1,73.0891525277539
SWE,RHP,2008,2,73.0751986719874
SWE,RHP,2008,3,71.8428593303907
SWE,RHP,2008,4,68.8233383221518
SWE,RHP,2009,1,70.3695612776461
SWE,RHP,2009,2,71.3264160028696
SWE,RHP,2009,3,72.8072675389391
SWE,RHP,2009,4,75.3983443487019
SWE,RHP,2010,1,75.992242741151
SWE,RHP,2010,2,76.4817667735998
SWE,RHP,2010,3,77.5794102684289
SWE,RHP,2010,4,78.9028991011611
SWE,RHP,2011,1,78.8096471508343
SWE,RHP,2011,2,78.5400371500297
SWE,RHP,2011,3,78.1440860301233
SWE,RHP,2011,4,77.0558401714319
SWE,RHP,2012,1,77.5908931465662
SWE,RHP,2012,2,78.3174378661921
SWE,RHP,2012,3,79.246348784372
SWE,RHP,2012,4,79.7678217544244
SWE,RHP,2013,1,80.3465241125395
SWE,RHP,2013,2,81.8442233054999
SWE,RHP,2013,3,82.7411327432357
SWE,RHP,2013,4,84.3514919800944
SWE,RHP,2014,1,86.4616057151349
SWE,RHP,2014,2,88.0033772528106
SWE,RHP,2014,3,90.2232909454845
SWE,RHP,2014,4,92.5653081138057
SWE,RHP,2015,1,95.5801008292808
SWE,RHP,2015,2,98.4662878405555
SWE,RHP,2015,3,101.521971660363
SWE,RHP,2015,4,104.4316396698
SWE,RHP,2016,1,105.479602442072
SWE,RHP,2016,2,106.350814687062
SWE,RHP,2016,3,107.622370274213
SWE,RHP,2016,4,109.789284830858
SWE,RHP,2017,1,111.922644117084
SWE,RHP,2017,2,113.084300412414
SWE,RHP,2017,3,113.948789719157
SWE,RHP,2017,4,110.907197761053
SWE,RHP,2018,1,108.666307582596
SWE,RHP,2018,2,108.503724156876
SWE,RHP,2018,3,108.486569528474
SWE,RHP,2018,4,109.108843746889
