iso3,medida,anyo,valor
CHL,LCC_SUR_ART_GAIN,2005,88.59851286
COL,LCC_SUR_ART_GAIN,2005,91.07530394
CRI,LCC_SUR_ART_GAIN,2005,84.19663313
CZE,LCC_SUR_ART_GAIN,2005,1264.684185
DNK,LCC_SUR_ART_GAIN,2005,419.2636457
EST,LCC_SUR_ART_GAIN,2005,49.59078836
FIN,LCC_SUR_ART_GAIN,2005,0.917954856
FRA,LCC_SUR_ART_GAIN,2005,5570.918038
FRB,LCC_SUR_ART_GAIN,2005,335.8011715
FRC,LCC_SUR_ART_GAIN,2005,383.8535982
FRD,LCC_SUR_ART_GAIN,2005,403.1940263
FRE,LCC_SUR_ART_GAIN,2005,791.5517568
FRF,LCC_SUR_ART_GAIN,2005,682.6395708
FRG,LCC_SUR_ART_GAIN,2005,597.4906679
FRH,LCC_SUR_ART_GAIN,2005,406.2119822
FRI,LCC_SUR_ART_GAIN,2005,420.670504
FRJ,LCC_SUR_ART_GAIN,2005,235.5615843
FRK,LCC_SUR_ART_GAIN,2005,577.0090413
FRL,LCC_SUR_ART_GAIN,2005,320.4370835
FRM,LCC_SUR_ART_GAIN,2005,13.27860209
DEU,LCC_SUR_ART_GAIN,2005,7359.527155
DEA,LCC_SUR_ART_GAIN,2005,1012.453114
DEB,LCC_SUR_ART_GAIN,2005,334.5396638
DEC,LCC_SUR_ART_GAIN,2005,101.2898439
DED,LCC_SUR_ART_GAIN,2005,540.8113269
DEE,LCC_SUR_ART_GAIN,2005,336.3715004
DEF,LCC_SUR_ART_GAIN,2005,226.0559258
DEG,LCC_SUR_ART_GAIN,2005,302.4896944
GRC,LCC_SUR_ART_GAIN,2005,194.0370564
HUN,LCC_SUR_ART_GAIN,2005,1530.177321
IRL,LCC_SUR_ART_GAIN,2005,343.9638377
ISR,LCC_SUR_ART_GAIN,2005,199.1125412
ITA,LCC_SUR_ART_GAIN,2005,2367.068624
JPN,LCC_SUR_ART_GAIN,2005,1234.38277
JPA,LCC_SUR_ART_GAIN,2005,155.0049387
JPB,LCC_SUR_ART_GAIN,2005,189.3587852
JPC,LCC_SUR_ART_GAIN,2005,194.552223
JPD,LCC_SUR_ART_GAIN,2005,161.9804872
JPE,LCC_SUR_ART_GAIN,2005,197.6799533
JPF,LCC_SUR_ART_GAIN,2005,55.59621335
JPG,LCC_SUR_ART_GAIN,2005,51.30641938
JPH,LCC_SUR_ART_GAIN,2005,83.30909486
JPI,LCC_SUR_ART_GAIN,2005,56.64267226
JPJ,LCC_SUR_ART_GAIN,2005,88.95198252
KOR,LCC_SUR_ART_GAIN,2005,2.029184969
LVA,LCC_SUR_ART_GAIN,2005,75.99656161
LTU,LCC_SUR_ART_GAIN,2005,186.1110344
LUX,LCC_SUR_ART_GAIN,2005,56.03236969
MEX,LCC_SUR_ART_GAIN,2005,1586.809077
NLD,LCC_SUR_ART_GAIN,2005,1342.838724
NZL,LCC_SUR_ART_GAIN,2005,100.7211176
NOR,LCC_SUR_ART_GAIN,2005,487.5646237
POL,LCC_SUR_ART_GAIN,2005,2905.6349
PRT,LCC_SUR_ART_GAIN,2005,486.0158921
SVK,LCC_SUR_ART_GAIN,2005,579.90743
SVN,LCC_SUR_ART_GAIN,2005,141.0870294
ESP,LCC_SUR_ART_GAIN,2005,1199.72017
SWE,LCC_SUR_ART_GAIN,2005,405.7256102
CHE,LCC_SUR_ART_GAIN,2005,613.8997057
TUR,LCC_SUR_ART_GAIN,2005,829.3790633
GBR,LCC_SUR_ART_GAIN,2005,2786.637773
UKC,LCC_SUR_ART_GAIN,2005,126.2132638
UKD,LCC_SUR_ART_GAIN,2005,188.1693813
UKE,LCC_SUR_ART_GAIN,2005,265.481576
UKF,LCC_SUR_ART_GAIN,2005,303.7769514
UKG,LCC_SUR_ART_GAIN,2005,209.3874711
UKH,LCC_SUR_ART_GAIN,2005,378.3237708
