freq,unit,sector,cofog99,na_item,geo,time,value
A,PC_GDP,S13,GF1002,TE,CY,2018,7.6
A,PC_GDP,S13,GF1002,TE,CY,2019,7.5
A,PC_GDP,S13,GF1002,TE,CY,2020,8.3
A,PC_GDP,S13,GF1002,TE,CY,2021,7.5
A,PC_GDP,S13,GF1002,TE,CY,2022,7.6
A,PC_GDP,S13,GF1002,TE,CY,2023,9.8
A,PC_GDP,S13,GF1002,TE,CY,2024,7.7
A,PC_GDP,S13,GF1002,TE,CZ,1995,5.8
A,PC_GDP,S13,GF1002,TE,CZ,1996,5.8
A,PC_GDP,S13,GF1002,TE,CZ,1997,6.0
A,PC_GDP,S13,GF1002,TE,CZ,1998,5.9
A,PC_GDP,S13,GF1002,TE,CZ,1999,6.0
A,PC_GDP,S13,GF1002,TE,CZ,2000,6.2
A,PC_GDP,S13,GF1002,TE,CZ,2001,6.2
A,PC_GDP,S13,GF1002,TE,CZ,2002,6.3
A,PC_GDP,S13,GF1002,TE,CZ,2003,6.3
A,PC_GDP,S13,GF1002,TE,CZ,2004,6.0
A,PC_GDP,S13,GF1002,TE,CZ,2005,5.9
A,PC_GDP,S13,GF1002,TE,CZ,2006,6.0
A,PC_GDP,S13,GF1002,TE,CZ,2007,6.0
A,PC_GDP,S13,GF1002,TE,CZ,2008,6.2
A,PC_GDP,S13,GF1002,TE,CZ,2009,6.9
A,PC_GDP,S13,GF1002,TE,CZ,2010,7.4
A,PC_GDP,S13,GF1002,TE,CZ,2011,7.7
A,PC_GDP,S13,GF1002,TE,CZ,2012,7.9
A,PC_GDP,S13,GF1002,TE,CZ,2013,8.0
A,PC_GDP,S13,GF1002,TE,CZ,2014,7.7
A,PC_GDP,S13,GF1002,TE,CZ,2015,7.5
A,PC_GDP,S13,GF1002,TE,CZ,2016,7.3
A,PC_GDP,S13,GF1002,TE,CZ,2017,7.1
A,PC_GDP,S13,GF1002,TE,CZ,2018,7.1
A,PC_GDP,S13,GF1002,TE,CZ,2019,7.2
A,PC_GDP,S13,GF1002,TE,CZ,2020,8.0
A,PC_GDP,S13,GF1002,TE,CZ,2021,7.7
A,PC_GDP,S13,GF1002,TE,CZ,2022,7.6
A,PC_GDP,S13,GF1002,TE,CZ,2023,8.1
A,PC_GDP,S13,GF1002,TE,CZ,2024,8.0
A,PC_GDP,S13,GF1002,TE,DE,2000,9.2
A,PC_GDP,S13,GF1002,TE,DE,2001,9.3
A,PC_GDP,S13,GF1002,TE,DE,2002,9.5
A,PC_GDP,S13,GF1002,TE,DE,2003,9.8
A,PC_GDP,S13,GF1002,TE,DE,2004,9.7
A,PC_GDP,S13,GF1002,TE,DE,2005,9.7
A,PC_GDP,S13,GF1002,TE,DE,2006,9.4
A,PC_GDP,S13,GF1002,TE,DE,2007,9.1
A,PC_GDP,S13,GF1002,TE,DE,2008,9.1
A,PC_GDP,S13,GF1002,TE,DE,2009,9.8
A,PC_GDP,S13,GF1002,TE,DE,2010,9.4
A,PC_GDP,S13,GF1002,TE,DE,2011,9.1
A,PC_GDP,S13,GF1002,TE,DE,2012,9.1
A,PC_GDP,S13,GF1002,TE,DE,2013,9.0
A,PC_GDP,S13,GF1002,TE,DE,2014,9.0
A,PC_GDP,S13,GF1002,TE,DE,2015,9.1
A,PC_GDP,S13,GF1002,TE,DE,2016,9.1
A,PC_GDP,S13,GF1002,TE,DE,2017,9.2
A,PC_GDP,S13,GF1002,TE,DE,2018,9.3
A,PC_GDP,S13,GF1002,TE,DE,2019,9.5
A,PC_GDP,S13,GF1002,TE,DE,2020,10.2
A,PC_GDP,S13,GF1002,TE,DE,2021,9.8
A,PC_GDP,S13,GF1002,TE,DE,2022,9.6
A,PC_GDP,S13,GF1002,TE,DE,2023,9.4
A,PC_GDP,S13,GF1002,TE,DE,2024,9.9
A,PC_GDP,S13,GF1002,TE,DK,1995,6.9
A,PC_GDP,S13,GF1002,TE,DK,1996,6.9
A,PC_GDP,S13,GF1002,TE,DK,1997,6.7
A,PC_GDP,S13,GF1002,TE,DK,1998,6.7
A,PC_GDP,S13,GF1002,TE,DK,1999,6.3
A,PC_GDP,S13,GF1002,TE,DK,2000,5.7
A,PC_GDP,S13,GF1002,TE,DK,2001,5.8
A,PC_GDP,S13,GF1002,TE,DK,2002,5.8
