freq,mortalit,sex,icd10,unit,geo,time,value
A,TRT,T,TOTAL,RT,EE,2016,142.98
A,TRT,T,TOTAL,RT,EE,2017,136.6
A,TRT,T,TOTAL,RT,EE,2018,133.47
A,TRT,T,TOTAL,RT,EE,2019,129.41
A,TRT,T,TOTAL,RT,EE,2020,123.88
A,TRT,T,TOTAL,RT,EE,2021,135.62
A,TRT,T,TOTAL,RT,EE,2022,126.16
A,TRT,T,TOTAL,RT,EE,2023,115.79
A,TRT,T,TOTAL,RT,EL,2011,94.15
A,TRT,T,TOTAL,RT,EL,2012,96.36
A,TRT,T,TOTAL,RT,EL,2013,91.13
A,TRT,T,TOTAL,RT,EL,2014,94.51
A,TRT,T,TOTAL,RT,EL,2015,96.65
A,TRT,T,TOTAL,RT,EL,2016,94.93
A,TRT,T,TOTAL,RT,EL,2017,94.2
A,TRT,T,TOTAL,RT,EL,2018,90.04
A,TRT,T,TOTAL,RT,EL,2019,93.05
A,TRT,T,TOTAL,RT,EL,2020,92.37
A,TRT,T,TOTAL,RT,EL,2021,94.54
A,TRT,T,TOTAL,RT,EL,2022,85.59
A,TRT,T,TOTAL,RT,EL,2023,84.11
A,TRT,T,TOTAL,RT,ES,2011,74.24
A,TRT,T,TOTAL,RT,ES,2012,72.53
A,TRT,T,TOTAL,RT,ES,2013,70.49
A,TRT,T,TOTAL,RT,ES,2014,68.46
A,TRT,T,TOTAL,RT,ES,2015,68.33
A,TRT,T,TOTAL,RT,ES,2016,66.84
A,TRT,T,TOTAL,RT,ES,2017,65.52
A,TRT,T,TOTAL,RT,ES,2018,64.62
A,TRT,T,TOTAL,RT,ES,2019,62.58
A,TRT,T,TOTAL,RT,ES,2020,62.24
A,TRT,T,TOTAL,RT,ES,2021,61.01
A,TRT,T,TOTAL,RT,ES,2022,62.06
A,TRT,T,TOTAL,RT,ES,2023,60.18
A,TRT,T,TOTAL,RT,EU27_2020,2011,103.39
A,TRT,T,TOTAL,RT,EU27_2020,2012,101.73
A,TRT,T,TOTAL,RT,EU27_2020,2013,98.65
A,TRT,T,TOTAL,RT,EU27_2020,2014,94.83
A,TRT,T,TOTAL,RT,EU27_2020,2015,95.85
A,TRT,T,TOTAL,RT,EU27_2020,2016,93.16
A,TRT,T,TOTAL,RT,EU27_2020,2017,92.09
A,TRT,T,TOTAL,RT,EU27_2020,2018,91.3
A,TRT,T,TOTAL,RT,EU27_2020,2019,89.16
A,TRT,T,TOTAL,RT,EU27_2020,2020,91.71
A,TRT,T,TOTAL,RT,EU27_2020,2021,93.27
A,TRT,T,TOTAL,RT,EU27_2020,2022,89.7
A,TRT,T,TOTAL,RT,EU27_2020,2023,86.81
