iso3,funcion,year,pct_gdp
JPN,GF03,2007,1.189174414781737
JPN,GF03,2008,1.194319013276779
JPN,GF03,2009,1.288018872651627
JPN,GF03,2010,1.206672751362628
JPN,GF03,2011,1.267144973655591
JPN,GF03,2012,1.252710926788293
JPN,GF03,2013,1.248730589269995
JPN,GF03,2014,1.285246210036755
JPN,GF03,2015,1.246523443569569
JPN,GF03,2016,1.221056622712057
JPN,GF03,2017,1.190746971918716
JPN,GF03,2018,1.213085673951157
JPN,GF03,2019,1.244177161622044
JPN,GF03,2020,1.286009479175334
JPN,GF03,2021,1.220210957670147
JPN,GF03,2022,1.212346833405012
JPN,GF03,2023,1.167452253247856
JPN,GF03,2024,1.211524215444834
KAZ,GF03,2000,1.836155544444017
KAZ,GF03,2001,1.978699405338723
KAZ,GF03,2002,2.058702003029436
KAZ,GF03,2003,1.985982506428909
KAZ,GF03,2004,2.019788352217072
KAZ,GF03,2010,1.690664655905979
KAZ,GF03,2011,1.587984754989281
KAZ,GF03,2012,1.800070083166668
KAZ,GF03,2013,1.689835662281456
KAZ,GF03,2014,1.514837443697082
KAZ,GF03,2015,1.363404749628523
KAZ,GF03,2016,0.9790047042752839
KAZ,GF03,2017,0.9864134221642565
KAZ,GF03,2018,0.9127563684973877
KAZ,GF03,2019,0.8732030529194854
KAZ,GF03,2020,0.9344800619595202
KAZ,GF03,2021,0.8394993828907827
KAZ,GF03,2022,0.9890602673317881
KAZ,GF03,2023,0.9854735591838386
KEN,GF03,2020,1.612396074583663
KEN,GF03,2023,1.208863072913613
KGZ,GF03,2020,0.0
KGZ,GF03,2021,0.0
KGZ,GF03,2022,0.0
KGZ,GF03,2023,0.0
KGZ,GF03,2024,0.0
KIR,GF03,2011,4.888754710814811
KIR,GF03,2012,4.505068615271981
KIR,GF03,2013,4.74572036907169
KIR,GF03,2014,12.04145051482695
KIR,GF03,2015,4.180348611179072
KIR,GF03,2016,3.98351867124747
KIR,GF03,2017,4.356013834431946
KIR,GF03,2018,4.885532833784392
KIR,GF03,2019,5.341567823738095
KIR,GF03,2020,4.163100773373082
KIR,GF03,2021,4.90062436922521
KIR,GF03,2022,4.588856092010455
KIR,GF03,2023,4.293647468496945
KOR,GF03,2009,0.8947106177476812
KOR,GF03,2010,0.8333781709427354
KOS,GF03,2016,2.565219551786395
KOS,GF03,2017,2.454967356249508
KOS,GF03,2018,2.643218911339279
KOS,GF03,2019,2.211529254839715
KOS,GF03,2020,2.962137443587926
KOS,GF03,2021,2.594570304602973
KOS,GF03,2022,2.40485738562018
KOS,GF03,2023,2.759529849891226
KWT,GF03,2001,4.27258533484167
KWT,GF03,2002,4.10730772881414
KWT,GF03,2003,3.61914781693845
KWT,GF03,2004,3.23691106201511
KWT,GF03,2005,2.81411976113887
KWT,GF03,2006,2.32783046878977
LTU,GF03,1995,1.815710627400768
LTU,GF03,1996,1.902372673348333
LTU,GF03,1997,2.337794205115133
LTU,GF03,1998,2.55764993880049
LTU,GF03,1999,2.140734936927055
LTU,GF03,2000,2.020882572924458
LTU,GF03,2001,1.904633150260527
LTU,GF03,2002,1.897284681130835
LTU,GF03,2003,1.855990880182396
LTU,GF03,2004,1.827103723549675
LTU,GF03,2005,1.729887522638452
LTU,GF03,2006,1.775581201566536
LTU,GF03,2007,1.647001240865849
LTU,GF03,2008,1.82533468124866
LTU,GF03,2009,1.834435343389793
LTU,GF03,2010,1.85713614174652
LTU,GF03,2011,1.861896785000966
LTU,GF03,2012,1.767772697190301
LTU,GF03,2013,1.632930955384792
LTU,GF03,2014,1.658369263724494
LTU,GF03,2015,1.616392917234196
LTU,GF03,2016,1.468648718279016
LTU,GF03,2017,1.469663426287282
LTU,GF03,2018,1.356556556556557
LTU,GF03,2019,1.380027618138619
LTU,GF03,2020,1.499249796032078
LTU,GF03,2021,1.558915084350956
LTU,GF03,2022,1.718025738346578
LTU,GF03,2023,1.495387783859953
LTU,GF03,2024,1.571428207057503
LUX,GF03,1995,0.7706704840535322
LUX,GF03,1996,0.7959875167186803
LUX,GF03,1997,0.8142323244700403
LUX,GF03,1998,0.7795147313691508
LUX,GF03,1999,0.9404006677796327
LUX,GF03,2000,0.8839728530409815
LUX,GF03,2001,0.9673283082077052
LUX,GF03,2002,1.021694454440046
LUX,GF03,2003,1.072204217028253
LUX,GF03,2004,1.075242115718897
LUX,GF03,2005,1.068131831841749
LUX,GF03,2006,0.9669992684711046
LUX,GF03,2007,0.8863397269008023
LUX,GF03,2008,0.9004373906523369
LUX,GF03,2009,0.9764589895265166
LUX,GF03,2010,0.9949248873900433
LUX,GF03,2011,0.9895268822056269
LUX,GF03,2012,0.9658492025963977
LUX,GF03,2013,0.9825725633974947
LUX,GF03,2014,0.9744318510938194
LUX,GF03,2015,0.9807358427837908
LUX,GF03,2016,0.9749661969826359
LUX,GF03,2017,1.02346266911929
LUX,GF03,2018,1.107170268968152
LUX,GF03,2019,1.224492509813346
LUX,GF03,2020,1.2818818896417
LUX,GF03,2021,1.195042442497262
LUX,GF03,2022,1.23519698687623
LUX,GF03,2023,1.310207511325442
LUX,GF03,2024,1.287311441169645
LVA,GF03,1995,2.766683621566633
LVA,GF03,1996,2.618089788732394
LVA,GF03,1997,2.325076219512195
LVA,GF03,1998,2.406424056039638
LVA,GF03,1999,2.550114791734995
LVA,GF03,2000,2.407748581666169
LVA,GF03,2001,2.32276578300082
LVA,GF03,2002,2.341843884449908
LVA,GF03,2003,2.335885376790988
LVA,GF03,2004,2.39862639947314
LVA,GF03,2005,2.289246737388384
LVA,GF03,2006,2.697698680576864
LVA,GF03,2007,2.592691431493793
LVA,GF03,2008,2.26763018156903
LVA,GF03,2009,2.100313818850774
LVA,GF03,2010,1.955457110609481
LVA,GF03,2011,1.950190929539154
LVA,GF03,2012,1.863845716451857
LVA,GF03,2013,1.996283476042995
LVA,GF03,2014,2.087170374270545
LVA,GF03,2015,2.047481469002695
LVA,GF03,2016,2.205669850600049
LVA,GF03,2017,2.416900488142368
LVA,GF03,2018,2.276855042091429
LVA,GF03,2019,2.313887103865796
LVA,GF03,2020,2.306860799343006
LVA,GF03,2021,2.272636600173461
LVA,GF03,2022,2.121891966759003
LVA,GF03,2023,2.585614142029869
MAC,GF03,2001,3.399368061855857
MAC,GF03,2002,3.283487963727858
MAC,GF03,2003,3.348558937305355
MAC,GF03,2004,2.745277056405331
MAC,GF03,2005,2.479058881497906
MAC,GF03,2006,2.309792883250011
MAC,GF03,2007,2.096256505381932
MAC,GF03,2008,2.197334660143858
MAC,GF03,2009,2.315333229324159
MAC,GF03,2010,1.988482832728608
MAC,GF03,2011,1.603970843821716
MAC,GF03,2012,1.499917709174684
MAC,GF03,2013,1.470450896686728
MAC,GF03,2014,1.504504816437713
MAC,GF03,2015,2.598590901767545
MAC,GF03,2016,2.625629269168542
MAC,GF03,2017,3.201814948590435
MAC,GF03,2018,3.446859545385577
MAC,GF03,2019,2.64711030720745
MAC,GF03,2020,6.120380086031649
MAC,GF03,2021,4.47074654915983
MAC,GF03,2022,5.620753002946107
MAC,GF03,2023,3.290700599927436
MAC,GF03,2024,3.028967288015571
MDA,GF03,2002,2.480951954920092
MDA,GF03,2003,2.226372517562057
MDA,GF03,2004,1.996142767852061
MDA,GF03,2005,2.310907859580623
MDA,GF03,2006,2.633932907597598
MDA,GF03,2007,2.375650742170473
MDA,GF03,2008,2.194955638803847
MDA,GF03,2009,2.518790273071054
MDA,GF03,2010,1.517350649996597
MDA,GF03,2011,1.910039747962418
MDA,GF03,2012,1.909078962619503
