ccaa,anyo,valor,quarter
"Balears, Illes",2022,1199002.0,3
"Balears, Illes",2022,1206684.0,4
"Balears, Illes",2023,1209906.0,1
"Balears, Illes",2023,1213977.0,2
"Balears, Illes",2023,1222509.0,3
"Balears, Illes",2023,1229555.0,4
"Balears, Illes",2024,1231768.0,1
"Balears, Illes",2024,1234681.0,2
"Balears, Illes",2024,1241571.0,3
"Balears, Illes",2024,1248020.0,4
"Balears, Illes",2025,1249844.0,1
"Balears, Illes",2025,1250984.0,2
"Balears, Illes",2025,1257823.0,3
"Balears, Illes",2025,1260987.0,4
"Balears, Illes",2026,1260004.0,1
"Balears, Illes",2026,1261594.0,2
Canarias,1971,1125433.0,1
Canarias,1971,1137536.0,3
Canarias,1972,1151259.0,1
Canarias,1972,1163727.0,3
Canarias,1973,1176886.0,1
Canarias,1973,1189658.0,3
Canarias,1974,1203346.0,1
Canarias,1974,1215972.0,3
Canarias,1975,1229259.0,1
Canarias,1975,1240777.0,3
Canarias,1976,1253443.0,1
Canarias,1976,1264732.0,3
Canarias,1977,1276862.0,1
Canarias,1977,1287898.0,3
Canarias,1978,1299614.0,1
Canarias,1978,1310488.0,3
Canarias,1979,1321454.0,1
Canarias,1979,1331886.0,3
Canarias,1980,1342973.0,1
Canarias,1980,1352836.0,3
Canarias,1981,1363880.0,1
Canarias,1981,1373114.0,3
Canarias,1982,1382030.0,1
Canarias,1982,1389725.0,3
Canarias,1983,1397709.0,1
Canarias,1983,1404314.0,3
Canarias,1984,1412104.0,1
Canarias,1984,1418604.0,3
Canarias,1985,1425584.0,1
Canarias,1985,1431157.0,3
Canarias,1986,1437814.0,1
Canarias,1986,1443289.0,3
Canarias,1987,1450022.0,1
Canarias,1987,1455615.0,3
Canarias,1988,1461760.0,1
Canarias,1988,1466637.0,3
Canarias,1989,1473018.0,1
Canarias,1989,1477658.0,3
Canarias,1990,1483529.0,1
Canarias,1990,1487752.0,3
Canarias,1991,1492835.0,1
Canarias,1991,1500257.0,3
Canarias,1992,1510606.0,1
Canarias,1992,1520080.0,3
Canarias,1993,1530528.0,1
Canarias,1993,1539581.0,3
Canarias,1994,1549420.0,1
Canarias,1994,1558302.0,3
Canarias,1995,1568049.0,1
Canarias,1995,1576858.0,3
Canarias,1996,1586644.0,1
Canarias,1996,1594987.0,3
Canarias,1997,1604650.0,1
Canarias,1997,1613099.0,3
Canarias,1998,1622822.0,1
