iso3,cabecera,year,pct_gdp
WSM,otros,2017,0.0
WSM,otros,2018,0.0
WSM,otros,2019,0.0
WSM,otros,2020,0.0
WSM,otros,2021,0.0
WSM,otros,2022,0.0
WSM,otros,2023,0.0
WSM,otros,2024,0.0
SYC,otros,2008,0.0
SYC,otros,2009,0.0
SYC,otros,2010,0.0
SYC,otros,2011,0.0
SYC,otros,2012,0.0
SYC,otros,2013,0.0
SYC,otros,2014,0.0
SYC,otros,2015,0.0
SYC,otros,2016,0.0
SYC,otros,2017,0.0
SYC,otros,2018,0.0
SYC,otros,2019,0.0
SYC,otros,2020,0.0
SYC,otros,2021,0.0
SYC,otros,2022,0.0
SYC,otros,2023,0.0
SYC,otros,2024,0.0
SLE,otros,2001,0.0
SLE,otros,2002,0.0
SLE,otros,2003,0.0
SLE,otros,2004,0.0
SLE,otros,2005,0.0
SLE,otros,2006,0.0
SLE,otros,2007,0.0
SLE,otros,2008,0.0
SLE,otros,2009,0.0
SLE,otros,2010,0.0
SLE,otros,2011,0.0
SLE,otros,2012,0.0
SLE,otros,2013,0.0
SLE,otros,2014,0.0
SLE,otros,2015,0.0
SLE,otros,2016,0.0
SLE,otros,2017,0.0
SLE,otros,2018,0.0
SLE,otros,2019,0.0
SLE,otros,2020,0.0
SLE,otros,2021,0.0
SLE,otros,2022,0.0
SLE,otros,2023,0.0
SLE,otros,2024,0.0
SLB,otros,2007,0.0
SLB,otros,2008,0.0
SLB,otros,2009,0.0
SLB,otros,2010,0.0
SLB,otros,2011,0.0
SLB,otros,2012,0.0
SLB,otros,2013,0.0
SLB,otros,2014,0.0
SLB,otros,2015,0.0
SLB,otros,2016,0.0
SLB,otros,2017,0.0
SLB,otros,2018,0.0
SLB,otros,2019,0.0
SLB,otros,2020,0.0
SLB,otros,2021,0.0
SLB,otros,2022,0.0
SLB,otros,2023,0.0
SLB,otros,2024,0.0
SOM,otros,2013,0.0
SOM,otros,2014,0.0
SOM,otros,2015,0.0
SOM,otros,2016,0.0
SOM,otros,2017,0.0
SOM,otros,2018,0.0
SUR,otros,2012,0.0
SUR,otros,2013,0.0
SUR,otros,2014,0.0
SUR,otros,2015,0.0
SUR,otros,2016,0.0
SUR,otros,2017,0.0
SUR,otros,2018,0.0
SUR,otros,2019,0.0
SUR,otros,2020,0.0
SUR,otros,2021,0.0
SUR,otros,2022,0.0
TLS,otros,2017,0.0
TLS,otros,2019,0.0
TLS,otros,2020,0.0
TLS,otros,2021,0.0
ESP,nomina,1993,0.0
ESP,nomina,1994,0.0
ESP,nomina,1995,0.0
ESP,nomina,1996,0.0
ESP,nomina,1997,0.0
ESP,nomina,1998,0.0
ESP,nomina,1999,0.0
ESP,nomina,2000,0.0
ESP,nomina,2001,0.0
ESP,nomina,2002,0.0
ESP,nomina,2003,0.0
ESP,nomina,2004,0.0
ESP,nomina,2005,0.0
ESP,nomina,2006,0.0
ESP,nomina,2007,0.0
ESP,nomina,2008,0.0
ESP,nomina,2009,0.0
ESP,nomina,2010,0.0
ESP,nomina,2011,0.0
ESP,nomina,2012,0.0
ESP,nomina,2013,0.0
ESP,nomina,2014,0.0
