freq,unit,sex,age,geo,time,value
A,YR,T,Y_LT1,EL,1997,78.4
A,YR,T,Y_LT1,EL,1998,78.3
A,YR,T,Y_LT1,EL,1999,78.5
A,YR,T,Y_LT1,EL,2000,78.6
A,YR,T,Y_LT1,EL,2001,79.1
A,YR,T,Y_LT1,EL,2002,79.2
A,YR,T,Y_LT1,EL,2003,79.3
A,YR,T,Y_LT1,EL,2004,79.4
A,YR,T,Y_LT1,EL,2005,79.6
A,YR,T,Y_LT1,EL,2006,79.9
A,YR,T,Y_LT1,EL,2007,79.7
A,YR,T,Y_LT1,EL,2008,80.2
A,YR,T,Y_LT1,EL,2009,80.4
A,YR,T,Y_LT1,EL,2010,80.6
A,YR,T,Y_LT1,EL,2011,80.8
A,YR,T,Y_LT1,EL,2012,80.7
A,YR,T,Y_LT1,EL,2013,81.4
A,YR,T,Y_LT1,EL,2014,81.0
A,YR,T,Y_LT1,EL,2015,80.8
A,YR,T,Y_LT1,EL,2016,81.0
A,YR,T,Y_LT1,EL,2017,81.0
A,YR,T,Y_LT1,EL,2018,81.5
A,YR,T,Y_LT1,EL,2019,81.4
A,YR,T,Y_LT1,EL,2020,81.1
A,YR,T,Y_LT1,EL,2021,80.1
A,YR,T,Y_LT1,EL,2022,80.8
A,YR,T,Y_LT1,EL,2023,81.7
A,YR,T,Y_LT1,EL,2024,81.9
A,YR,T,Y_LT1,ES,1995,78.1
A,YR,T,Y_LT1,ES,1996,78.3
A,YR,T,Y_LT1,ES,1997,78.8
A,YR,T,Y_LT1,ES,1998,78.8
A,YR,T,Y_LT1,ES,1999,78.8
A,YR,T,Y_LT1,ES,2000,79.3
A,YR,T,Y_LT1,ES,2001,79.8
A,YR,T,Y_LT1,ES,2002,79.8
A,YR,T,Y_LT1,ES,2003,79.7
A,YR,T,Y_LT1,ES,2004,80.4
A,YR,T,Y_LT1,ES,2005,80.3
A,YR,T,Y_LT1,ES,2006,81.1
A,YR,T,Y_LT1,ES,2007,81.1
A,YR,T,Y_LT1,ES,2008,81.5
A,YR,T,Y_LT1,ES,2009,81.9
A,YR,T,Y_LT1,ES,2010,82.4
A,YR,T,Y_LT1,ES,2011,82.6
A,YR,T,Y_LT1,ES,2012,82.5
A,YR,T,Y_LT1,ES,2013,83.2
A,YR,T,Y_LT1,ES,2014,82.9
A,YR,T,Y_LT1,ES,2015,82.7
A,YR,T,Y_LT1,ES,2016,83.1
A,YR,T,Y_LT1,ES,2017,83.0
A,YR,T,Y_LT1,ES,2018,83.1
