area,serie,indice,anyo,quarter
ZA,nominal,160.1996,2020,4
ZA,nominal,163.4582,2021,1
ZA,nominal,166.12,2021,2
ZA,nominal,167.9497,2021,3
ZA,nominal,169.7484,2021,4
ZA,nominal,171.8685,2022,1
ZA,nominal,173.6169,2022,2
ZA,nominal,174.8941,2022,3
ZA,nominal,175.7451,2022,4
ZA,nominal,176.3078,2023,1
ZA,nominal,176.4023,2023,2
ZA,nominal,176.4154,2023,3
ZA,nominal,177.3418,2023,4
ZA,nominal,178.0924,2024,1
ZA,nominal,177.4785,2024,2
ZA,nominal,177.5598,2024,3
ZA,nominal,179.2479,2024,4
ZA,nominal,181.2646,2025,1
ZA,nominal,183.3456,2025,2
ZA,nominal,186.2415,2025,3
ZA,nominal,188.9897,2025,4
ZA,nominal,192.0885,2026,1
PE,nominal,59.0857,1998,1
PE,nominal,56.7212,1998,2
PE,nominal,59.3654,1998,3
PE,nominal,61.9132,1998,4
PE,nominal,71.0403,1999,1
PE,nominal,66.2189,1999,2
PE,nominal,66.7405,1999,3
PE,nominal,69.4937,1999,4
PE,nominal,65.0931,2000,1
PE,nominal,66.3565,2000,2
PE,nominal,64.7339,2000,3
PE,nominal,65.1266,2000,4
PE,nominal,58.4434,2001,1
PE,nominal,64.9299,2001,2
PE,nominal,58.4566,2001,3
PE,nominal,60.6535,2001,4
PE,nominal,57.8199,2002,1
PE,nominal,59.1599,2002,2
PE,nominal,68.8154,2002,3
PE,nominal,59.6684,2002,4
PE,nominal,50.7241,2003,1
PE,nominal,55.061,2003,2
PE,nominal,51.9545,2003,3
PE,nominal,53.3807,2003,4
PE,nominal,59.8422,2004,1
PE,nominal,60.6225,2004,2
PE,nominal,58.4605,2004,3
PE,nominal,54.6199,2004,4
PE,nominal,59.4955,2005,1
PE,nominal,53.076,2005,2
PE,nominal,52.8891,2005,3
PE,nominal,57.6166,2005,4
PE,nominal,57.9886,2006,1
