freq,unit,asset10,geo,time,value
A,PC_GDP,N111G,EA19,1999,6.1
A,PC_GDP,N111G,EA19,2000,6.1
A,PC_GDP,N111G,EA19,2001,5.9
A,PC_GDP,N111G,EA19,2002,5.9
A,PC_GDP,N111G,EA19,2003,6.0
A,PC_GDP,N111G,EA19,2004,6.2
A,PC_GDP,N111G,EA19,2005,6.4
A,PC_GDP,N111G,EA19,2006,6.7
A,PC_GDP,N111G,EA19,2007,6.7
A,PC_GDP,N111G,EA19,2008,6.4
A,PC_GDP,N111G,EA19,2009,5.8
A,PC_GDP,N111G,EA19,2010,5.5
A,PC_GDP,N111G,EA19,2011,5.4
A,PC_GDP,N111G,EA19,2012,5.2
A,PC_GDP,N111G,EA19,2013,5.0
A,PC_GDP,N111G,EA19,2014,5.0
A,PC_GDP,N111G,EA19,2015,4.8
A,PC_GDP,N111G,EA19,2016,5.0
A,PC_GDP,N111G,EA19,2017,5.2
A,PC_GDP,N111G,EA19,2018,5.4
A,PC_GDP,N111G,EA19,2019,5.5
A,PC_GDP,N111G,EA19,2020,5.7
A,PC_GDP,N111G,EA19,2021,6.1
A,PC_GDP,N111G,EA19,2022,6.3
A,PC_GDP,N111G,EA19,2023,6.1
A,PC_GDP,N111G,EA19,2024,5.4
A,PC_GDP,N111G,EA19,2025,5.4
A,PC_GDP,N111G,EA20,1995,6.2
A,PC_GDP,N111G,EA20,1996,6.1
A,PC_GDP,N111G,EA20,1997,6.0
A,PC_GDP,N111G,EA20,1998,6.0
A,PC_GDP,N111G,EA20,1999,6.1
A,PC_GDP,N111G,EA20,2000,6.1
A,PC_GDP,N111G,EA20,2001,5.9
A,PC_GDP,N111G,EA20,2002,5.8
A,PC_GDP,N111G,EA20,2003,6.0
A,PC_GDP,N111G,EA20,2004,6.1
A,PC_GDP,N111G,EA20,2005,6.3
A,PC_GDP,N111G,EA20,2006,6.7
A,PC_GDP,N111G,EA20,2007,6.7
A,PC_GDP,N111G,EA20,2008,6.4
A,PC_GDP,N111G,EA20,2009,5.8
A,PC_GDP,N111G,EA20,2010,5.5
A,PC_GDP,N111G,EA20,2011,5.4
A,PC_GDP,N111G,EA20,2012,5.2
A,PC_GDP,N111G,EA20,2013,5.0
A,PC_GDP,N111G,EA20,2014,5.0
A,PC_GDP,N111G,EA20,2015,4.8
A,PC_GDP,N111G,EA20,2016,5.0
A,PC_GDP,N111G,EA20,2017,5.2
A,PC_GDP,N111G,EA20,2018,5.4
A,PC_GDP,N111G,EA20,2019,5.5
A,PC_GDP,N111G,EA20,2020,5.7
A,PC_GDP,N111G,EA20,2021,6.1
A,PC_GDP,N111G,EA20,2022,6.3
A,PC_GDP,N111G,EA20,2023,6.1
A,PC_GDP,N111G,EA20,2024,5.4
A,PC_GDP,N111G,EA20,2025,5.3
A,PC_GDP,N111G,EA21,1995,6.2
A,PC_GDP,N111G,EA21,1996,6.1
A,PC_GDP,N111G,EA21,1997,6.0
A,PC_GDP,N111G,EA21,1998,6.0
A,PC_GDP,N111G,EA21,1999,6.1
A,PC_GDP,N111G,EA21,2000,6.1
A,PC_GDP,N111G,EA21,2001,5.9
A,PC_GDP,N111G,EA21,2002,5.8
A,PC_GDP,N111G,EA21,2003,6.0
A,PC_GDP,N111G,EA21,2004,6.1
A,PC_GDP,N111G,EA21,2005,6.3
A,PC_GDP,N111G,EA21,2006,6.7
A,PC_GDP,N111G,EA21,2007,6.7
A,PC_GDP,N111G,EA21,2008,6.4
A,PC_GDP,N111G,EA21,2009,5.8
A,PC_GDP,N111G,EA21,2010,5.5
A,PC_GDP,N111G,EA21,2011,5.4
A,PC_GDP,N111G,EA21,2012,5.2
A,PC_GDP,N111G,EA21,2013,5.0
A,PC_GDP,N111G,EA21,2014,4.9
A,PC_GDP,N111G,EA21,2015,4.8
A,PC_GDP,N111G,EA21,2016,5.0
A,PC_GDP,N111G,EA21,2017,5.1
A,PC_GDP,N111G,EA21,2018,5.4
A,PC_GDP,N111G,EA21,2019,5.5
A,PC_GDP,N111G,EA21,2020,5.7
A,PC_GDP,N111G,EA21,2021,6.1
A,PC_GDP,N111G,EA21,2022,6.2
A,PC_GDP,N111G,EA21,2023,6.1
A,PC_GDP,N111G,EA21,2024,5.4
A,PC_GDP,N111G,EA21,2025,5.3
A,PC_GDP,N111G,EE,1995,2.6
A,PC_GDP,N111G,EE,1996,2.9
A,PC_GDP,N111G,EE,1997,3.1
A,PC_GDP,N111G,EE,1998,2.6
A,PC_GDP,N111G,EE,1999,2.5
A,PC_GDP,N111G,EE,2000,2.0
A,PC_GDP,N111G,EE,2001,2.1
A,PC_GDP,N111G,EE,2002,2.5
A,PC_GDP,N111G,EE,2003,3.2
A,PC_GDP,N111G,EE,2004,3.8
A,PC_GDP,N111G,EE,2005,4.8
A,PC_GDP,N111G,EE,2006,6.7
A,PC_GDP,N111G,EE,2007,6.0
A,PC_GDP,N111G,EE,2008,4.3
A,PC_GDP,N111G,EE,2009,3.1
A,PC_GDP,N111G,EE,2010,2.7
A,PC_GDP,N111G,EE,2011,2.7
A,PC_GDP,N111G,EE,2012,2.9
A,PC_GDP,N111G,EE,2013,3.3
A,PC_GDP,N111G,EE,2014,3.8
A,PC_GDP,N111G,EE,2015,3.9
A,PC_GDP,N111G,EE,2016,4.3
A,PC_GDP,N111G,EE,2017,4.5
A,PC_GDP,N111G,EE,2018,4.4
A,PC_GDP,N111G,EE,2019,4.8
A,PC_GDP,N111G,EE,2020,5.3
A,PC_GDP,N111G,EE,2021,4.8
A,PC_GDP,N111G,EE,2022,5.0
A,PC_GDP,N111G,EE,2023,4.9
A,PC_GDP,N111G,EE,2024,4.3
A,PC_GDP,N111G,EE,2025,4.6
A,PC_GDP,N111G,EL,1995,8.4
A,PC_GDP,N111G,EL,1996,8.5
A,PC_GDP,N111G,EL,1997,7.5
A,PC_GDP,N111G,EL,1998,9.1
A,PC_GDP,N111G,EL,1999,9.2
A,PC_GDP,N111G,EL,2000,9.3
A,PC_GDP,N111G,EL,2001,8.2
A,PC_GDP,N111G,EL,2002,8.3
A,PC_GDP,N111G,EL,2003,9.2
A,PC_GDP,N111G,EL,2004,10.2
A,PC_GDP,N111G,EL,2005,9.0
A,PC_GDP,N111G,EL,2006,10.2
A,PC_GDP,N111G,EL,2007,11.0
A,PC_GDP,N111G,EL,2008,8.2
A,PC_GDP,N111G,EL,2009,6.6
A,PC_GDP,N111G,EL,2010,5.2
A,PC_GDP,N111G,EL,2011,4.9
A,PC_GDP,N111G,EL,2012,3.3
A,PC_GDP,N111G,EL,2013,2.4
